Prestador;Sigla do Prestador;Natureza jurídica;Natureza jurídica_b;Natureza jurídica_c
Companhia de Saneamento de Minas Gerais;COPASA;Sociedade de economia mista com administração pública;Pública;CESB Bolsa
Companhia de Saneamento de Sergipe;DESO;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Saneamento do Amazonas;COSAMA;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Saneamento do Pará;COSANPA;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Saneamento do Paraná;SANEPAR;Sociedade de economia mista com administração pública;Pública;CESB Bolsa
Companhia de Saneamento do Tocantins;SANEATINS;Empresa privada;Privada;CESB Privada
Companhia de Saneamento Municipal;CESAMA;Empresa pública;Pública;Pública
Companhia de Serviço de Água, Esgoto e Resíduos de Guaratinguetá;SAEG;Sociedade de economia mista com administração pública;Pública;Pública
Companhia Espírito-Santense de Saneamento;CESAN;Sociedade de economia mista com administração pública;Pública;CESB
Companhia Estadual de Águas e Esgotos;CEDAE;Sociedade de economia mista com administração pública;Pública;CESB
Companhia Ituana de Saneamento;CIS;Autarquia;Pública;Pública
Companhia Operacional de Desenvolvimento, Saneamento e Ações Urbanas de Uberaba;CODAU;Autarquia;Pública;Pública
Companhia Pernambucana de Saneamento;COMPESA;Sociedade de economia mista com administração pública;Pública;CESB
Companhia Rio-Grandense de Saneamento;CORSAN;Sociedade de economia mista com administração pública;Pública;CESB
Concessionária Águas de Juara Ltda;AJ;Empresa privada;Privada;Privada
Concessionária Águas de Juturnaíba S/A;CAJ;Empresa privada;Privada;Privada
Concessionária Águas de Meriti LTDA;AM;Empresa privada;Privada;Privada
Concessionária Águas de Paraty;CAPY;Empresa privada;Privada;Privada
Concessionária de Saneamento Básico Ltda;COSÁGUA;Empresa privada;Privada;Privada
Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A;COPANOR;Empresa pública;Pública;CESB
DAE S/A - Água e Esgoto;DAE Jundiaí;Sociedade de economia mista com administração pública;Pública;Pública
Datema Ambiental Saneamento Básico LTDA;PMV;Empresa privada;Privada;Privada
Departamento Autônomo de Água e Esgoto;DAAE;Autarquia;Pública;Pública
Departamento Autônomo de Água e Esgoto de Penápolis;DAEP;Autarquia;Pública;Pública
Departamento Autônomo de Água e Esgotos;DAAE;Autarquia;Pública;Pública
Departamento Autônomo Municipal de Água e Esgoto;DAMAE;Autarquia;Pública;Pública
Departamento de Água;DAE;Administração pública direta;Pública;Pública
Departamento de Água e Esgoto;DAE;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Americana;DAE;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Avanhandava;DAAEA;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Bagé;DAEB;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Marília;DAEM;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Patrocínio;DAEPA;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Santa Bárbara D´Oeste;DAE;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Valparaiso;DAEV;Autarquia;Pública;Pública
Departamento de Água e Esgoto de Várzea Grande;DAE;Autarquia;Pública;Pública
Departamento de Água e Esgoto Sanitário;DAES;Autarquia;Pública;Pública
Departamento de Água e Esgotos;DAE;Administração pública direta;Pública;Pública
Departamento de Água e Esgotos de Ribeirão Preto;DAERP;Autarquia;Pública;Pública
Departamento de Águas e Esgotos de Valinhos;DAEV;Autarquia;Pública;Pública
Departamento de Esgoto e Água de Guaíra;DEAGUA;Autarquia;Pública;Pública
Departamento Estadual de Pavimentação e Saneamento;DEPASA;Autarquia;Pública;CESB
Departamento Municipal Autônomo de Água e Esgoto;DMAAE;Autarquia;Pública;Pública
Departamento Municipal de Água e Esgoto;DEMAE;Administração pública direta;Pública;Pública
Departamento Municipal de Água e Esgotos;DMAE;Autarquia;Pública;Pública
Departamento Municipal de Água, Esgoto e Saneamento;DMAES;Autarquia;Pública;Pública
Departamento Municipal de Águas e Esgotos;DAE;Autarquia;Pública;Pública
Departamento Municipal de Saneamento Urbano;DEMSUR;Autarquia;Pública;Pública
Empresa Águas de Castilho S/A;EAC;Empresa privada;Privada;Privada
Empresa Baiana de Águas e Saneamento S.A.;EMBASA;Sociedade de economia mista com administração pública;Pública;CESB
Empresa de Desenvolvimento, Água, Esgoto e Pavimentação de Dracena;EMDAEP;Empresa pública;Pública;Pública
Empresa de Saneamento Ambiental e Concessões Ltda;ESAC;Empresa privada;Privada;Privada
Empresa de Saneamento de Mato Grosso do Sul S/A;SANESUL;Sociedade de economia mista com administração pública;Pública;CESB
Empresa de Saneamento de Palestina;ESAP;Empresa privada;Privada;Privada
Empresa Municipal de Água e Saneamento;EMASA;Autarquia;Pública;Pública
Empresa Municipal de Água e Saneamento Ambiental S/A;EMASA;Sociedade de economia mista com administração pública;Pública;Pública
Empresa Municipal de Serviços de Água e Esgoto;EMSAE;Empresa pública;Pública;Pública
Fab Zona Oeste S.A.;FABZO;Empresa privada;Privada;Privada
Fontes da Serra Saneamento de Guapimirim Ltda;FSSG;Empresa privada;Privada;Privada
Gaivota Saneamento SPE S/A;GS;Empresa privada;Privada;Privada
Gravatal Saneamento SPE SA;GS;Empresa privada;Privada;Privada
Hidro Forte Administração e Operação Ltda;HFAO;Empresa privada;Privada;Privada
Itapoá Saneamento Ltda;IS;Empresa privada;Privada;Privada
Manaus Ambiental;MA;Empresa privada;Privada;Privada
Naturágua Distribuidora de Água Ltda;Naturagua;Empresa privada;Privada;Privada
Paranaguá Saneamento S/A;PS;Empresa privada;Privada;Privada
Prefeitura Municipal de Abadia dos Dourados;PMAD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Abdon Batista;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Acaiaca;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aceguá;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Afonso Cláudio;PMAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Agrestina;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Água Azul do Norte;PMAAN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Água Boa;DEMAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Água Branca;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Água Comprida;PMAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Água Doce do Norte;PMADN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Águanil;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Águas Belas;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aiuaba;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aiuruoca;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Albertina;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alcantil;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alegrete do Piauí;PMAPI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alegria;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alfredo Vasconcelos;PMAV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alfredo Wagner;PMAW;Administração pública direta;Pública;Pública
Prefeitura Municipal de Almirante Tamandaré do Sul;PMATS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Altamira;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Altinho;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Altinópolis;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Araguaia;PMAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Bela Vista;PMABV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Caparaó;PMAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Feliz;PMAF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Garças;PMAG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Jequitibá;PMAJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Paráguai;PMAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Rio Doce;PMARD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alto Rio Novo;PMARN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alvarenga;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alvinópolis;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alvorada de Minas;PMAM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Alvorada do Gurguéia;PMAG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Amapá do Maranhão;PMAM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Américo Brasiliense;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Américo de Campos;PMAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Amparo;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Andradas;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de André da Rocha;PMAR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Andrelândia;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Anta Gorda;PMAG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Antonio Almeida;PMAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Antonio Carlos;PMAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Antonio Dias;PMAD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aperibé;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Apiacá;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Apiacás;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aquidabã;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arabutã;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araçaí;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araci;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araguaiana;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aráguainha;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arantina;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araponga;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araporã;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arapuá;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araputanga;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arara;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ararendá;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Araripina;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arcos;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Areia Branca;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Areia de Baraunas;PMAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Areias;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Argirita;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arinos;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aripuanã;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arroio do Padre;PMAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arroio Trinta;PMAT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Arvoredo;PMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Astolfo Dutra;PMAD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Atilio Vivacqua;PMAV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Augusto Pestana;PMAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Aurora do Pará;PMAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bacurituba;PMBAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Baependi;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Baião;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Baldim;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Balneário Arroio do Silva;PMBAS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Balneário Rincão;PMSN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bálsamo;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bambuí;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Banzaê;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barão de Cocais;PMBC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barbosa;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barra da Estiva;PMBE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barra de Santa Rosa;PMBSR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barra do Piraí;PMBP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barra do Rio Azul;PMBRA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barra Funda;PMBF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barrinha;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Barroso;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Batatais;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bela Vista de Minas;PMBVM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Belo Oriente;PMBO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Belo Vale;PMBV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Belterra;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Benevides;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bias Fortes;PMBF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bilac;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Birigui;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Biritinga;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Esperança;PMBE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Hora;PMBH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Vista das Missões;PMBVM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Vista do Cadeado;PMBVC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Vista do Gurupi;PMBVG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Vista do Incra;PMBVI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Vista do Sul;PMBVS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boa Vista do Tupim;PMBVT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boca do Acre;SASBA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bodocó;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jardim;PMBJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jardim da Serra;PMBJS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jardim de Minas;PMBJM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jesus;PMBJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jesus da Penha;PMBJP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jesus do Amparo;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jesus do Galho;PMBJG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Jesus dos Perdoes;PMBJP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bom Princípio;PMBP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bonfinópolis de Minas;PMBM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bonito;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bonito de Santa Fé;PMBSF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Boqueirão;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Borba;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Borborema;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bozano;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Braço do Trombudo;PMBT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brás Pires;PMBP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brasil Novo;PMBN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brasiléia;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brasnorte;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brasópolis;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejetuba;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejinho;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejinho de Nazaré;PMBNZ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejo da Madre de Deus;PMBMD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejo do Cruz;PMBC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejo Grande;PMBG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brejões;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brochier;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brotas de Macaubas;PMBM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Brunópolis;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Bugre;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Buriti dos Montes;PMBM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Buritirana;PMB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cabrália Paulista;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cabrobó;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caçador;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeira Alta;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeira da Prata;PMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeira de Goiás;PMCG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeira de Minas;PMCM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeira Dourada;PMCD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeira Grande;PMCG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cachoeirinha;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cacimba de Areia;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caconde;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caculé;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caetanópolis;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cafelândia;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Caiuá;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cajuri;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Camargo;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Camboriú;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Cambuci;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campestre;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campestre da Serra;PMCS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campina das Missões;PMCM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campinápolis;PMC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campo Alegre;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campo Novo de Rondonia;PMCNR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campo Novo do Parecis;DAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campos Altos;PMCA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campos de Júlio;PMCJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campos Gerais;PMCG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Campos Novos Paulista;PMCNP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Canaã;PMC;Administração pública direta;Pública;Pública
